Дата,Взаимодействия,Показы,Средняя цена за клик,Стоимость
"чт, 6 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пт, 7 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"сб, 8 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вс, 9 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пн, 10 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вт, 11 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"ср, 12 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"чт, 13 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пт, 14 мая 2021 г.",16,792,"35,45 грн.","567,25 грн."
"сб, 15 мая 2021 г.",0,9,"0,00 грн.","0,00 грн."
"вс, 16 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пн, 17 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вт, 18 мая 2021 г.",31,1 021,"3,44 грн.","106,64 грн."
"ср, 19 мая 2021 г.",197,6 105,"6,91 грн.","1 362,13 грн."
"чт, 20 мая 2021 г.",12,303,"5,33 грн.","63,96 грн."
"пт, 21 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"сб, 22 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вс, 23 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пн, 24 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вт, 25 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"ср, 26 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"чт, 27 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пт, 28 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"сб, 29 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вс, 30 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пн, 31 мая 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вт, 1 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"ср, 2 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"чт, 3 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пт, 4 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"сб, 5 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вс, 6 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"пн, 7 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"вт, 8 июн. 2021 г.",59,2 531,"9,29 грн.","548,25 грн."
"ср, 9 июн. 2021 г.",61,1 990,"10,66 грн.","650,43 грн."
"чт, 10 июн. 2021 г.",2,153,"8,81 грн.","17,62 грн."
"пт, 11 июн. 2021 г.",59,1 840,"21,13 грн.","1 246,64 грн."
"сб, 12 июн. 2021 г.",75,1 655,"15,39 грн.","1 154,34 грн."
"вс, 13 июн. 2021 г.",68,1 779,"15,09 грн.","1 026,05 грн."
"пн, 14 июн. 2021 г.",4,56,"16,38 грн.","65,51 грн."
"вт, 15 июн. 2021 г.",0,0,"0,00 грн.","0,00 грн."
"ср, 16 июн. 2021 г.",31,3 135,"12,98 грн.","402,25 грн."
