Ключевое слово для поисковой рекламы,Тип соответствия,Статус критерия,Статус кампании,Статус группы объявлений,Стоимость,Клики,CTR
элитные новостройки киева,Широкое соответствие,Удалено,Включено,Включено,"1 079,41 грн.",65,"5,24 %"
элитная недвижимость киев,Широкое соответствие,Удалено,Включено,Включено,"468,56 грн.",32,"7,14 %"
жк метрополис,Широкое соответствие,Удалено,Включено,Включено,"458,35 грн.",40,"1,86 %"
купить квартиры в центре,Широкое соответствие,Удалено,Включено,Включено,"344,76 грн.",48,"3,47 %"
элитные квартиры в киеве,Широкое соответствие,Удалено,Включено,Включено,"306,74 грн.",31,"5,88 %"
клубный дом киев,Широкое соответствие,Удалено,Включено,Включено,"284,86 грн.",22,"6,41 %"
жк чикаго,Широкое соответствие,Удалено,Включено,Включено,"273,12 грн.",18,"3,00 %"
жк в центре киева,Широкое соответствие,Удалено,Включено,Включено,"270,87 грн.",46,"3,69 %"
новобудови києва,Широкое соответствие,Удалено,Включено,Включено,"217,34 грн.",19,"2,21 %"
жк манхэттен,Широкое соответствие,Удалено,Включено,Включено,"212,93 грн.",11,"1,84 %"
новопечерские липки купить,Широкое соответствие,Удалено,Включено,Включено,"201,38 грн.",9,"3,46 %"
бульвар фонтанов,Широкое соответствие,Удалено,Включено,Включено,"200,96 грн.",15,"2,10 %"
элитная недвижимость в киеве,Широкое соответствие,Удалено,Включено,Включено,"179,87 грн.",14,"9,59 %"
купить квартиры в центре,Фразовое соответствие,Включено,Включено,Включено,"145,79 грн.",9,"6,08 %"
новая англия,Фразовое соответствие,Включено,Включено,Включено,"140,82 грн.",7,"1,36 %"
Taryan Towers,Широкое соответствие,Включено,Включено,Включено,"131,28 грн.",9,"2,14 %"
купить квартиру на подоле,Фразовое соответствие,Включено,Включено,Включено,"122,34 грн.",6,"4,14 %"
бусов хилл,Широкое соответствие,Удалено,Включено,Включено,"121,51 грн.",12,"3,03 %"
бульвар фонтанов,Фразовое соответствие,Включено,Включено,Включено,"113,75 грн.",6,"2,41 %"
новопечерские липки,Широкое соответствие,Удалено,Включено,Включено,"108,17 грн.",12,"3,57 %"
новопечерские липки купить,Фразовое соответствие,Включено,Включено,Включено,"96,14 грн.",5,"4,85 %"
купити квартири в центрі,Широкое соответствие,Удалено,Включено,Включено,"82,41 грн.",13,"4,69 %"
PecherSKY,Широкое соответствие,Включено,Включено,Включено,"79,81 грн.",4,"4,49 %"
элитные квартиры киев,Широкое соответствие,Удалено,Включено,Включено,"76,23 грн.",4,"3,74 %"
подол плаза,Фразовое соответствие,Включено,Включено,Включено,"74,45 грн.",4,"2,72 %"
квартиры на лукьяновке,Широкое соответствие,Удалено,Включено,Включено,"72,55 грн.",9,"1,69 %"
клубный дом киев,Фразовое соответствие,Включено,Включено,Включено,"71,39 грн.",5,"12,82 %"
подол плаза,Широкое соответствие,Удалено,Включено,Включено,"70,72 грн.",5,"3,16 %"
элитные квартиры,Широкое соответствие,Удалено,Включено,Включено,"62,14 грн.",8,"6,90 %"
квартира на подоле,Широкое соответствие,Удалено,Включено,Включено,"61,39 грн.",11,"4,35 %"
престиж холл,Широкое соответствие,Удалено,Включено,Включено,"61,23 грн.",5,"2,54 %"
клубный дом,Широкое соответствие,Удалено,Включено,Включено,"58,92 грн.",14,"8,28 %"
элитные квартиры киев,Фразовое соответствие,Включено,Включено,Включено,"58,34 грн.",4,"16,67 %"
ЖК Crystal House,Широкое соответствие,Удалено,Включено,Включено,"57,03 грн.",5,"1,52 %"
купить квартиру с документами,Широкое соответствие,Удалено,Включено,Включено,"51,33 грн.",7,"6,03 %"
купить квартиру в новостройке,Широкое соответствие,Удалено,Включено,Включено,"51,18 грн.",2,"2,15 %"
престиж холл,Фразовое соответствие,Включено,Включено,Включено,"48,57 грн.",2,"2,22 %"
элитные квартиры в киеве,Фразовое соответствие,Включено,Включено,Включено,"45,65 грн.",3,"11,54 %"
жк метрополис,Фразовое соответствие,Включено,Включено,Включено,"44,16 грн.",2,"0,65 %"
жк чикаго,Фразовое соответствие,Включено,Включено,Включено,"43,01 грн.",2,"1,63 %"
элитная недвижимость,Широкое соответствие,Удалено,Включено,Включено,"35,53 грн.",7,"7,61 %"
элитное жилье,Широкое соответствие,Удалено,Включено,Включено,"33,55 грн.",7,"17,95 %"
тетрис холл,Широкое соответствие,Удалено,Включено,Включено,"33,08 грн.",3,"1,78 %"
Intergal City,Широкое соответствие,Удалено,Включено,Включено,"32,38 грн.",3,"4,17 %"
жк подол град,Широкое соответствие,Удалено,Включено,Включено,"27,20 грн.",2,"1,12 %"
ЖК Signature,Широкое соответствие,Удалено,Включено,Включено,"23,65 грн.",2,"5,13 %"
роял тауэр,Широкое соответствие,Удалено,Включено,Включено,"23,31 грн.",2,"2,86 %"
элитный жк,Широкое соответствие,Удалено,Включено,Включено,"20,30 грн.",3,"5,00 %"
ЖК TRIIINITY,Фразовое соответствие,Включено,Включено,Включено,"19,92 грн.",1,"5,00 %"
ЖК Royal Tower,Широкое соответствие,Включено,Включено,Включено,"19,91 грн.",1,"0,53 %"
